Time	X	Z
0	7.852	2.426
0.1	7.852	2.426
0.2	7.852	2.427
0.3	7.852	2.427
0.4	7.852	2.427
0.5	7.853	2.427
0.6	7.852	2.427
0.7	7.853	2.427
0.8	7.852	2.427
0.9	7.853	2.427
1	7.852	2.427
1.1	7.853	2.427
1.2	7.852	2.427
1.3	7.852	2.427
1.4	7.853	2.427
1.5	7.852	2.427
1.6	7.852	2.427
1.7	7.852	2.427
1.8	7.852	2.427
1.9	7.852	2.427
2	7.853	2.427
2.1	7.852	2.427
2.2	7.852	2.427
2.3	7.853	2.427
2.4	7.852	2.427
2.5	7.852	2.427
2.6	7.852	2.427
2.7	7.852	2.427
2.8	7.852	2.427
2.9	7.852	2.427
3	7.852	2.427
3.1	7.852	2.427
3.2	7.853	2.427
3.3	7.852	2.427
3.4	7.852	2.427
3.5	7.853	2.427
3.6	7.852	2.427
3.7	7.852	2.427
3.8	7.852	2.427
3.9	7.853	2.427
4	7.853	2.427
4.1	7.852	2.427
4.2	7.852	2.427
4.3	7.852	2.427
4.4	7.852	2.427
4.5	7.852	2.427
4.6	7.852	2.427
4.7	7.852	2.427
4.8	7.852	2.427
4.9	7.852	2.427
5	7.852	2.427
5.1	7.853	2.427
5.2	7.853	2.427
5.3	7.853	2.427
5.4	7.852	2.427
5.5	7.852	2.427
5.6	7.852	2.427
5.7	7.853	2.427
5.8	7.852	2.427
5.9	7.853	2.427
6	7.853	2.427
6.1	7.853	2.427
6.2	7.853	2.427
6.3	7.853	2.427
6.4	7.853	2.427
6.5	7.853	2.427
6.6	7.853	2.427
6.7	7.852	2.427
6.8	7.852	2.427
6.9	7.852	2.427
7	7.853	2.427
7.1	7.852	2.427
7.2	7.852	2.427
7.3	7.852	2.427
7.4	7.852	2.427
7.5	7.853	2.427
7.6	7.852	2.427
7.7	7.853	2.427
7.8	7.853	2.427
7.9	7.852	2.427
8	7.852	2.427
8.1	7.852	2.427
8.2	7.852	2.427
8.3	7.853	2.427
8.4	7.853	2.427
8.5	7.852	2.427
8.6	7.852	2.427
8.7	7.853	2.427
8.8	7.852	2.427
8.9	7.852	2.427
9	7.852	2.427
9.1	7.853	2.427
9.2	7.853	2.427
9.3	7.852	2.427
9.4	7.852	2.427
9.5	7.852	2.427
9.6	7.853	2.427
9.7	7.852	2.427
9.8	7.852	2.427
9.9	7.852	2.427
10	7.853	2.427
10.1	7.852	2.427
10.2	7.853	2.427
10.3	7.853	2.427
10.4	7.852	2.427
10.5	7.853	2.427
10.6	7.852	2.427
10.7	7.852	2.427
10.8	7.853	2.427
10.9	7.853	2.427
11	7.853	2.427
11.1	7.853	2.427
11.2	7.852	2.427
11.3	7.852	2.427
11.4	7.852	2.427
11.5	7.853	2.427
11.6	7.853	2.427
11.7	7.853	2.427
11.8	7.852	2.427
11.9	7.853	2.427
12	7.852	2.427
12.1	7.852	2.427
12.2	7.852	2.427
12.3	7.852	2.427
12.4	7.852	2.427
12.5	7.852	2.427
12.6	7.853	2.427
12.7	7.852	2.427
12.8	7.852	2.427
12.9	7.852	2.427
13	7.852	2.427
13.1	7.852	2.427
13.2	7.853	2.427
13.3	7.853	2.427
13.4	7.852	2.427
13.5	7.853	2.427
13.6	7.853	2.427
13.7	7.853	2.427
13.8	7.853	2.427
13.9	7.853	2.427
14	7.853	2.427
14.1	7.852	2.427
14.2	7.852	2.427
14.3	7.852	2.427
14.4	7.853	2.427
14.5	7.853	2.427
14.6	7.853	2.427
14.7	7.853	2.427
14.8	7.852	2.427
14.9	7.853	2.427
15	7.853	2.427
15.1	7.852	2.427
15.2	7.853	2.427
15.3	7.852	2.427
15.4	7.853	2.427
15.5	7.853	2.427
15.6	7.852	2.427
15.7	7.852	2.427
15.8	7.852	2.427
15.9	7.852	2.427
16	7.852	2.427
16.1	7.852	2.427
16.2	7.853	2.427
16.3	7.853	2.427
16.4	7.852	2.427
16.5	7.852	2.427
16.6	7.852	2.427
16.7	7.852	2.427
16.8	7.852	2.427
16.9	7.852	2.427
17	7.852	2.427
17.1	7.852	2.427
17.2	7.853	2.427
17.3	7.853	2.427
17.4	7.852	2.427
17.5	7.853	2.427
17.6	7.853	2.427
17.7	7.853	2.427
17.8	7.852	2.427
17.9	7.853	2.427
18	7.853	2.427
18.1	7.852	2.427
18.2	7.852	2.427
18.3	7.852	2.427
18.4	7.852	2.427
18.5	7.852	2.427
18.6	7.852	2.427
18.7	7.852	2.427
18.8	7.853	2.427
18.9	7.853	2.427
19	7.852	2.427
19.1	7.852	2.427
19.2	7.852	2.427
19.3	7.853	2.427
19.4	7.852	2.427
19.5	7.852	2.427
19.6	7.852	2.427
19.7	7.853	2.427
19.8	7.852	2.427
19.9	7.853	2.427
20	7.852	2.427
20.1	7.852	2.427
20.2	7.853	2.427
20.3	7.852	2.427
20.4	7.852	2.427
20.5	7.852	2.427
20.6	7.853	2.427
20.7	7.853	2.427
20.8	7.852	2.427
20.9	7.852	2.427
21	7.852	2.427
21.1	7.853	2.427
21.2	7.852	2.427
21.3	7.852	2.427
21.4	7.853	2.427
21.5	7.853	2.427
21.6	7.853	2.427
21.7	7.852	2.427
21.8	7.852	2.427
21.9	7.853	2.427
22	7.853	2.427
22.1	7.853	2.427
22.2	7.853	2.427
22.3	7.853	2.427
22.4	7.853	2.427
22.5	7.852	2.427
22.6	7.852	2.427
22.7	7.853	2.427
22.8	7.852	2.427
22.9	7.853	2.427
23	7.853	2.427
23.1	7.852	2.427
23.2	7.852	2.427
23.3	7.853	2.427
23.4	7.853	2.427
23.5	7.853	2.427
23.6	7.853	2.427
23.7	7.853	2.427
23.8	7.852	2.427
23.9	7.852	2.427
24	7.852	2.427
24.1	7.853	2.427
24.2	7.853	2.427
24.3	7.853	2.427
24.4	7.853	2.427
24.5	7.853	2.427
24.6	7.852	2.427
24.7	7.853	2.427
24.8	7.852	2.427
24.9	7.852	2.427
25	7.853	2.427
25.1	7.852	2.427
25.2	7.853	2.427
25.3	7.853	2.427
25.4	7.853	2.427
25.5	7.853	2.427
25.6	7.852	2.427
25.7	7.852	2.427
25.8	7.853	2.427
25.9	7.853	2.427
26	7.853	2.427
26.1	7.853	2.427
26.2	7.852	2.427
26.3	7.853	2.427
26.4	7.853	2.427
26.5	7.853	2.427
26.6	7.852	2.427
26.7	7.852	2.427
26.8	7.853	2.427
26.9	7.853	2.427
27	7.852	2.427
27.1	7.852	2.427
27.2	7.852	2.427
27.3	7.852	2.427
27.4	7.852	2.427
27.5	7.852	2.427
27.6	7.852	2.427
27.7	7.852	2.427
27.8	7.853	2.427
27.9	7.852	2.427
28	7.852	2.427
28.1	7.853	2.427
28.2	7.852	2.427
28.3	7.852	2.427
28.4	7.852	2.427
28.5	7.852	2.427
28.6	7.852	2.427
28.7	7.852	2.427
28.8	7.853	2.427
28.9	7.853	2.427
29	7.852	2.427
29.1	7.853	2.427
29.2	7.853	2.427
29.3	7.852	2.427
29.4	7.853	2.427
29.5	7.853	2.427
29.6	7.852	2.427
29.7	7.852	2.427
29.8	7.853	2.427
29.9	7.852	2.427
30	7.852	2.427
30.1	7.852	2.427
30.2	7.853	2.427
30.3	7.852	2.427
30.4	7.852	2.427
30.5	7.853	2.427
30.6	7.853	2.427
30.7	7.852	2.427
30.8	7.853	2.427
30.9	7.852	2.427
31	7.853	2.427
31.1	7.852	2.427
31.2	7.853	2.427
31.3	7.853	2.427
31.4	7.852	2.427
31.5	7.852	2.427
31.6	7.853	2.427
31.7	7.853	2.427
31.8	7.852	2.427
31.9	7.852	2.427
32	7.853	2.427
32.1	7.853	2.427
32.2	7.853	2.427
32.3	7.853	2.427
32.4	7.853	2.427
32.5	7.852	2.427
32.6	7.852	2.427
32.7	7.852	2.427
32.8	7.852	2.427
32.9	7.852	2.427
33	7.852	2.427
33.1	7.852	2.427
33.2	7.852	2.427
33.3	7.852	2.427
33.4	7.852	2.427
33.5	7.852	2.427
33.6	7.852	2.427
33.7	7.852	2.427
33.8	7.852	2.427
33.9	7.853	2.427
34	7.853	2.427
34.1	7.853	2.428
34.2	7.853	2.428
34.3	7.853	2.427
34.4	7.853	2.428
34.5	7.853	2.428
34.6	7.852	2.427
34.7	7.853	2.427
34.8	7.852	2.427
34.9	7.853	2.427
35	7.853	2.427
35.1	7.853	2.427
35.2	7.852	2.427
35.3	7.852	2.427
35.4	7.852	2.427
35.5	7.852	2.427
35.6	7.852	2.426
35.7	7.852	2.427
35.8	7.852	2.427
35.9	7.852	2.427
36	7.852	2.427
36.1	7.852	2.427
36.2	7.852	2.427
36.3	7.852	2.427
36.4	7.852	2.427
36.5	7.853	2.427
36.6	7.853	2.427
36.7	7.852	2.427
36.8	7.852	2.427
36.9	7.853	2.427
37	7.852	2.427
37.1	7.852	2.427
37.2	7.853	2.427
37.3	7.853	2.427
37.4	7.852	2.427
37.5	7.852	2.427
37.6	7.853	2.427
37.7	7.852	2.427
37.8	7.852	2.427
37.9	7.852	2.427
38	7.852	2.427
38.1	7.852	2.427
38.2	7.852	2.427
38.3	7.852	2.427
38.4	7.852	2.427
38.5	7.852	2.427
38.6	7.852	2.427
38.7	7.853	2.427
38.8	7.853	2.427
38.9	7.853	2.427
39	7.853	2.428
39.1	7.852	2.427
39.2	7.853	2.427
39.3	7.853	2.427
39.4	7.853	2.428
39.5	7.853	2.428
39.6	7.853	2.428
39.7	7.853	2.428
39.8	7.853	2.427
39.9	7.853	2.427
40	7.853	2.428
40.1	7.853	2.428
40.2	7.853	2.428
40.3	7.853	2.427
40.4	7.853	2.427
40.5	7.853	2.427
40.6	7.853	2.427
40.7	7.853	2.427
40.8	7.852	2.427
40.9	7.853	2.427
41	7.853	2.427
41.1	7.853	2.427
41.2	7.853	2.427
41.3	7.853	2.427
41.4	7.853	2.427
41.5	7.853	2.427
41.6	7.853	2.427
41.7	7.853	2.427
41.8	7.853	2.427
41.9	7.853	2.427
42	7.853	2.427
42.1	7.853	2.427
42.2	7.853	2.428
42.3	7.853	2.428
42.4	7.853	2.428
42.5	7.853	2.428
42.6	7.853	2.427
42.7	7.853	2.427
42.8	7.853	2.427
42.9	7.853	2.427
43	7.853	2.427
43.1	7.853	2.427
43.2	7.853	2.427
43.3	7.853	2.427
43.4	7.853	2.427
43.5	7.853	2.427
43.6	7.853	2.427
43.7	7.853	2.427
43.8	7.853	2.427
43.9	7.853	2.427
44	7.853	2.427
44.1	7.853	2.427
44.2	7.853	2.427
44.3	7.853	2.427
44.4	7.853	2.427
44.5	7.853	2.427
44.6	7.853	2.427
44.7	7.853	2.427
44.8	7.853	2.427
44.9	7.852	2.427
45	7.853	2.427
45.1	7.853	2.427
45.2	7.853	2.427
45.3	7.853	2.427
45.4	7.853	2.427
45.5	7.853	2.427
45.6	7.853	2.427
45.7	7.853	2.427
45.8	7.853	2.427
45.9	7.853	2.427
46	7.853	2.426
46.1	7.852	2.426
46.2	7.853	2.426
46.3	7.852	2.426
46.4	7.853	2.426
46.5	7.853	2.426
46.6	7.852	2.426
46.7	7.852	2.426
46.8	7.853	2.427
46.9	7.853	2.427
47	7.853	2.427
47.1	7.853	2.426
47.2	7.852	2.426
47.3	7.853	2.426
47.4	7.853	2.427
47.5	7.853	2.427
47.6	7.853	2.427
47.7	7.853	2.427
47.8	7.853	2.427
47.9	7.853	2.427
48	7.853	2.427
48.1	7.853	2.427
48.2	7.853	2.427
48.3	7.853	2.427
48.4	7.853	2.427
48.5	7.853	2.427
48.6	7.853	2.427
48.7	7.853	2.427
48.8	7.852	2.426
48.9	7.852	2.426
49	7.852	2.426
49.1	7.852	2.426
49.2	7.852	2.426
49.3	7.852	2.426
49.4	7.852	2.426
49.5	7.852	2.426
49.6	7.852	2.426
49.7	7.852	2.426
49.8	7.853	2.426
49.9	7.853	2.427
50	7.853	2.427
50.1	7.853	2.427
50.2	7.853	2.427
50.3	7.853	2.427
50.4	7.853	2.427
50.5	7.853	2.428
50.6	7.853	2.427
50.7	7.853	2.427
50.8	7.853	2.427
50.9	7.853	2.427
51	7.853	2.427
