Name des Probanden: 42						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XS/15		0.422212	1.1			V
XS/15		0.38153		0.5			H
XL/7		0.620278	0.9			V
XL/7		0.630652	1.2			H
M/13		0.414041	0.7			V
M/13		0.368745	0.8			H
L/5		0.540294	0.8			V
L/5		0.529719	0.8			H
S/9		0.305657	0.8			V
S/9		0.401359	0.9			H
