Name des Probanden: 33						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/11		1.337003	0.6			V
XL/11		0.61		0.6			H
S/13		0.585853	0.5			V
S/13		1.200405	0.8			H
XS/11		0.695571	0.7			V
XS/11		0.888109	0.7			H
M/15		1.339732	0.9			V
M/15		1.024722	0.7			H
L/5		1.424851	0.7			V
L/5		1.199982	0.6			H
