Name des Probanden: 46						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/13		0.623363	1.3			V
XL/13		0.54009		0.7			H
S/3		0.5151		0.5			V
S/3		0.435415	0.4			H
M/7		0.632412	0.5			V
M/7		0.715714	0.5			H
XS/7		0.265922	0.6			V
XS/7		0.250947	0.6			H
L/1		0.803025	0.7			V
L/1		0.540543	0.5			H
