Name des Probanden: 22						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XS/13		0.46772		1.6			V
XS/13		0.805652	1.6			H
XL/11		0.654472	0.7			V
XL/11		0.741121	0.7			H
S/9		0.293914	1.1			V
S/9		0.431845	0.9			H
L/15		0.230013	0.7			V
L/15		0.562074	0.7			H
M/13		0.418948	0.9			V
M/13		0.484661	0.8			H
