Name des Probanden: 27						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
L/7		1.441423	0.5			V
L/7		0.634004	0.5			H
S/15		0.321517	0.5			V
S/15		0.289153	0.5			H
XL/3		0.394318	0.8			V
XL/3		0.489275	0.8			H
M/5		0.344026	0.5			V
M/5		0.385526	0.7			H
XS/17		0.3547		0.8			V
XS/17		0.43832		0.8			H
