Name des Probanden: 26						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
L/9		0.65389		1.4			V
L/9		1.031233	1.2			H
M/7		0.689938	1.6			V
M/7		0.811285	1.5			H
XS/5		0.568026	1.8			V
XS/5		0.67795		1.7			H
XL/15		0.666596	1.1			V
XL/15		0.761193	1			H
S/3		0.458152	1.5			V
S/3		0.537378	1.6			H
