Name des Probanden: 45						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
S/13		1.072873	1			V
S/13		0.493766	0.8			H
XL/11		0.649554	0.8			V
XL/11		0.739109	0.9			H
XS/17		0.345405	1.1			V
XS/17		0.333166	1			H
L/11		0.491666	1			V
L/11		0.630302	1			H
M/9		0.487952	1.1			V
M/9		0.418175	1			H
