Name des Probanden: 16						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/13		0.381861	1.2			V
M/13		0.13535		1.8			H
L/15		1.069535	1.6			V
L/15		1.240019	1.7			H
XL/9		1.357223	2			V
XL/9		1.526831	2			H
S/17		0.647479	1.2			V
S/17		0.802689	1.2			H
XS/11		0.300866	1.1			V
XS/11		0.369058	1.2			H
