Name des Probanden: 08						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
L/3		0.411719	1			V
L/3		0.321525	1			H
XS/5		0.380759	0.7			V
XS/5		0.573954	0.6			H
S/9		0.231283	1			V
S/9		0.290722	1			H
M/13		0.358301	1			V
M/13		0.415866	1			H
XL/13		0.428564	1.2			V
XL/13		0.383327	1.2			H
