Name des Probanden: 28						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/19		0.806336	1.2			V
M/19		0.737033	1.3			H
XL/17		1.282497	1.6			V
XL/17		1.013823	1.7			H
L/5		0.588174	1.3			V
L/5		0.764465	1.5			H
XS/3		0.743443	1.8			V
XS/3		1.19295		1.8			H
S/17		0.960047	1.5			V
S/17		0.822886	1.6			H
