Time	X	Z
0	7.213	2.337
0.1	7.213	2.337
0.2	7.213	2.337
0.3	7.213	2.337
0.4	7.213	2.337
0.5	7.213	2.337
0.6	7.213	2.337
0.7	7.213	2.337
0.8	7.213	2.337
0.9	7.213	2.337
1	7.213	2.337
1.1	7.213	2.337
1.2	7.213	2.337
1.3	7.213	2.337
1.4	7.213	2.337
1.5	7.213	2.337
1.6	7.213	2.337
1.7	7.213	2.337
1.8	7.213	2.337
1.9	7.213	2.337
2	7.213	2.337
2.1	7.213	2.337
2.2	7.213	2.337
2.3	7.213	2.337
2.4	7.213	2.337
2.5	7.213	2.337
2.6	7.213	2.337
2.7	7.213	2.337
2.8	7.213	2.337
2.9	7.213	2.337
3	7.213	2.337
3.1	7.213	2.337
3.2	7.213	2.337
3.3	7.213	2.337
3.4	7.213	2.337
3.5	7.213	2.337
3.6	7.213	2.337
3.7	7.213	2.337
3.8	7.213	2.337
3.9	7.213	2.337
4	7.213	2.337
4.1	7.213	2.337
4.2	7.213	2.337
4.3	7.213	2.337
4.4	7.213	2.337
4.5	7.213	2.337
4.6	7.213	2.337
4.7	7.213	2.337
4.8	7.213	2.337
4.9	7.213	2.337
5	7.213	2.337
5.1	7.213	2.337
5.2	7.213	2.337
5.3	7.213	2.337
5.4	7.213	2.337
5.5	7.213	2.337
5.6	7.213	2.337
5.7	7.213	2.337
5.8	7.213	2.337
5.9	7.213	2.337
6	7.213	2.337
6.1	7.213	2.337
6.2	7.213	2.337
6.3	7.213	2.337
6.4	7.213	2.337
6.5	7.213	2.337
6.6	7.213	2.337
6.7	7.213	2.337
6.8	7.213	2.337
6.9	7.213	2.337
7	7.213	2.337
7.1	7.213	2.337
7.2	7.213	2.337
7.3	7.213	2.337
7.4	7.213	2.337
7.5	7.213	2.337
7.6	7.213	2.337
7.7	7.213	2.337
7.8	7.213	2.337
7.9	7.213	2.337
8	7.213	2.337
8.1	7.213	2.337
8.2	7.213	2.337
8.3	7.213	2.337
8.4	7.213	2.337
8.5	7.213	2.337
8.6	7.213	2.337
8.7	7.213	2.337
8.8	7.213	2.337
8.9	7.213	2.337
9	7.213	2.337
9.1	7.213	2.337
9.2	7.213	2.337
9.3	7.213	2.337
9.4	7.213	2.337
9.5	7.213	2.337
9.6	7.213	2.337
9.7	7.213	2.337
9.8	7.213	2.337
9.9	7.213	2.337
10	7.213	2.337
10.1	7.213	2.337
10.2	7.213	2.337
10.3	7.213	2.337
10.4	7.213	2.337
10.5	7.213	2.337
10.6	7.213	2.337
10.7	7.213	2.337
10.8	7.213	2.337
10.9	7.213	2.337
11	7.213	2.337
11.1	7.213	2.337
11.2	7.213	2.337
11.3	7.213	2.337
11.4	7.213	2.337
11.5	7.213	2.337
11.6	7.213	2.337
11.7	7.213	2.337
11.8	7.213	2.337
11.9	7.213	2.337
12	7.213	2.337
12.1	7.213	2.337
12.2	7.213	2.337
12.3	7.213	2.337
12.4	7.213	2.337
12.5	7.213	2.337
12.6	7.213	2.337
12.7	7.213	2.337
12.8	7.213	2.337
12.9	7.213	2.337
13	7.213	2.337
13.1	7.213	2.337
13.2	7.213	2.337
13.3	7.213	2.337
13.4	7.213	2.337
13.5	7.213	2.337
13.6	7.213	2.337
13.7	7.213	2.337
13.8	7.213	2.337
13.9	7.213	2.337
14	7.213	2.337
14.1	7.213	2.337
14.2	7.213	2.337
14.3	7.213	2.337
14.4	7.213	2.337
14.5	7.213	2.337
14.6	7.213	2.337
14.7	7.213	2.337
14.8	7.213	2.337
14.9	7.213	2.337
15	7.213	2.337
15.1	7.213	2.337
15.2	7.213	2.337
15.3	7.213	2.337
15.4	7.213	2.337
15.5	7.213	2.337
15.6	7.213	2.337
15.7	7.213	2.337
15.8	7.213	2.337
15.9	7.213	2.337
16	7.213	2.337
16.1	7.213	2.337
16.2	7.213	2.337
16.3	7.213	2.337
16.4	7.213	2.337
16.5	7.212	2.337
16.6	7.21	2.339
16.7	7.194	2.348
16.8	7.17	2.354
16.9	7.174	2.336
17	7.19	2.277
17.1	7.163	2.275
17.2	7.13	2.314
17.3	7.102	2.36
17.4	7.074	2.393
17.5	7.033	2.428
17.6	7.002	2.458
17.7	7.012	2.506
17.8	7.005	2.543
17.9	6.98	2.581
18	6.968	2.618
18.1	6.963	2.629
18.2	6.957	2.614
18.3	6.95	2.588
18.4	6.94	2.577
18.5	6.951	2.581
18.6	6.984	2.594
18.7	7.002	2.609
18.8	7.04	2.623
18.9	7.057	2.636
19	7.04	2.638
19.1	7.016	2.673
19.2	7.021	2.754
19.3	7.041	2.867
19.4	7.065	2.984
19.5	7.091	3.081
19.6	7.132	3.195
19.7	7.167	3.283
19.8	7.199	3.349
19.9	7.213	3.419
20	7.208	3.511
20.1	7.197	3.613
20.2	7.195	3.699
20.3	7.198	3.789
20.4	7.209	3.88
20.5	7.228	3.963
20.6	7.257	4.049
20.7	7.291	4.132
20.8	7.327	4.211
20.9	7.361	4.281
21	7.387	4.342
21.1	7.399	4.387
21.2	7.405	4.426
21.3	7.417	4.458
21.4	7.426	4.491
21.5	7.434	4.522
21.6	7.445	4.549
21.7	7.457	4.574
21.8	7.473	4.595
21.9	7.492	4.615
22	7.515	4.633
22.1	7.54	4.65
22.2	7.567	4.665
22.3	7.592	4.677
22.4	7.606	4.684
22.5	7.592	4.676
22.6	7.597	4.681
22.7	7.605	4.687
22.8	7.602	4.692
22.9	7.599	4.699
23	7.598	4.701
23.1	7.592	4.707
23.2	7.59	4.711
23.3	7.59	4.714
23.4	7.591	4.719
23.5	7.589	4.725
23.6	7.588	4.727
23.7	7.588	4.729
23.8	7.59	4.735
23.9	7.594	4.741
24	7.599	4.748
24.1	7.606	4.753
24.2	7.611	4.758
24.3	7.619	4.762
24.4	7.63	4.761
24.5	7.639	4.761
24.6	7.642	4.766
24.7	7.643	4.772
24.8	7.645	4.783
24.9	7.643	4.788
25	7.635	4.795
25.1	7.62	4.801
25.2	7.614	4.8
25.3	7.617	4.806
25.4	7.622	4.809
25.5	7.618	4.809
25.6	7.608	4.811
25.7	7.591	4.81
25.8	7.577	4.81
25.9	7.566	4.813
26	7.56	4.816
26.1	7.555	4.818
26.2	7.561	4.818
26.3	7.566	4.815
26.4	7.58	4.816
26.5	7.591	4.817
26.6	7.597	4.818
26.7	7.598	4.82
26.8	7.601	4.821
26.9	7.618	4.826
27	7.644	4.83
27.1	7.675	4.838
27.2	7.708	4.844
27.3	7.732	4.851
27.4	7.747	4.857
27.5	7.737	4.862
27.6	7.721	4.86
27.7	7.71	4.859
27.8	7.7	4.859
27.9	7.694	4.859
28	7.689	4.859
28.1	7.684	4.86
28.2	7.677	4.864
28.3	7.675	4.869
28.4	7.67	4.877
28.5	7.655	4.878
28.6	7.632	4.87
28.7	7.615	4.865
28.8	7.609	4.869
28.9	7.61	4.864
29	7.611	4.857
29.1	7.61	4.854
29.2	7.613	4.85
29.3	7.611	4.845
29.4	7.607	4.84
29.5	7.605	4.832
29.6	7.615	4.827
29.7	7.625	4.819
29.8	7.636	4.811
29.9	7.648	4.812
30	7.661	4.813
30.1	7.676	4.816
30.2	7.688	4.818
30.3	7.697	4.818
30.4	7.701	4.82
30.5	7.694	4.819
30.6	7.685	4.818
30.7	7.683	4.82
30.8	7.688	4.829
30.9	7.686	4.83
31	7.689	4.829
31.1	7.694	4.829
31.2	7.701	4.831
31.3	7.708	4.832
31.4	7.717	4.832
31.5	7.724	4.834
31.6	7.732	4.836
31.7	7.739	4.838
31.8	7.746	4.839
31.9	7.753	4.841
32	7.724	4.818
32.1	7.726	4.816
32.2	7.728	4.815
32.3	7.731	4.815
32.4	7.731	4.816
32.5	7.73	4.816
32.6	7.727	4.818
32.7	7.725	4.819
32.8	7.719	4.819
32.9	7.716	4.819
33	7.715	4.819
33.1	7.712	4.818
33.2	7.709	4.818
33.3	7.707	4.819
33.4	7.707	4.821
33.5	7.706	4.822
33.6	7.706	4.823
33.7	7.708	4.823
33.8	7.71	4.822
33.9	7.713	4.823
34	7.714	4.824
34.1	7.712	4.824
34.2	7.71	4.827
34.3	7.708	4.831
34.4	7.707	4.832
34.5	7.708	4.833
34.6	7.708	4.835
34.7	7.704	4.835
34.8	7.7	4.836
34.9	7.699	4.836
35	7.663	4.813
35.1	7.667	4.817
35.2	7.665	4.817
35.3	7.667	4.814
35.4	7.667	4.813
35.5	7.667	4.812
35.6	7.669	4.81
35.7	7.672	4.81
35.8	7.674	4.81
35.9	7.676	4.807
36	7.678	4.805
36.1	7.677	4.804
36.2	7.677	4.804
36.3	7.676	4.805
36.4	7.674	4.804
36.5	7.673	4.805
36.6	7.671	4.807
36.7	7.674	4.807
36.8	7.675	4.809
36.9	7.674	4.81
37	7.671	4.809
37.1	7.667	4.808
37.2	7.668	4.805
37.3	7.662	4.804
37.4	7.659	4.803
37.5	7.657	4.803
37.6	7.658	4.801
37.7	7.66	4.8
37.8	7.66	4.799
37.9	7.66	4.799
38	7.66	4.797
38.1	7.658	4.795
38.2	7.657	4.794
38.3	7.659	4.793
38.4	7.664	4.791
38.5	7.669	4.788
38.6	7.669	4.787
38.7	7.667	4.786
38.8	7.666	4.787
38.9	7.666	4.79
39	7.666	4.792
39.1	7.664	4.795
39.2	7.663	4.799
39.3	7.66	4.801
39.4	7.658	4.801
39.5	7.656	4.802
39.6	7.653	4.8
39.7	7.651	4.799
39.8	7.651	4.799
39.9	7.65	4.8
40	7.649	4.8
40.1	7.648	4.8
40.2	7.648	4.799
40.3	7.649	4.799
40.4	7.649	4.798
40.5	7.649	4.797
40.6	7.647	4.794
40.7	7.647	4.791
40.8	7.648	4.788
40.9	7.648	4.785
41	7.649	4.782
41.1	7.648	4.78
41.2	7.651	4.777
41.3	7.655	4.776
41.4	7.657	4.778
41.5	7.66	4.78
41.6	7.662	4.782
41.7	7.664	4.785
41.8	7.664	4.788
41.9	7.666	4.789
42	7.666	4.79
42.1	7.666	4.791
42.2	7.667	4.792
42.3	7.667	4.793
42.4	7.664	4.794
42.5	7.662	4.795
42.6	7.661	4.795
42.7	7.66	4.796
42.8	7.662	4.797
42.9	7.662	4.8
43	7.663	4.801
43.1	7.663	4.801
43.2	7.665	4.803
43.3	7.666	4.802
43.4	7.667	4.803
43.5	7.668	4.804
43.6	7.669	4.805
43.7	7.67	4.806
43.8	7.67	4.807
43.9	7.669	4.808
44	7.668	4.809
44.1	7.667	4.81
44.2	7.665	4.811
44.3	7.664	4.811
44.4	7.663	4.811
44.5	7.663	4.811
44.6	7.652	4.803
44.7	7.654	4.804
44.8	7.656	4.808
44.9	7.657	4.808
45	7.656	4.808
45.1	7.659	4.81
45.2	7.661	4.81
45.3	7.663	4.811
45.4	7.665	4.811
45.5	7.665	4.81
45.6	7.666	4.808
45.7	7.666	4.808
45.8	7.667	4.809
45.9	7.666	4.806
46	7.665	4.806
46.1	7.662	4.808
46.2	7.656	4.809
46.3	7.654	4.809
46.4	7.652	4.808
46.5	7.654	4.809
46.6	7.648	4.803
46.7	7.644	4.801
46.8	7.643	4.8
46.9	7.641	4.797
47	7.637	4.796
47.1	7.634	4.795
47.2	7.633	4.796
47.3	7.633	4.801
47.4	7.636	4.801
47.5	7.638	4.801
47.6	7.641	4.799
47.7	7.643	4.799
47.8	7.644	4.798
47.9	7.644	4.798
48	7.643	4.798
48.1	7.646	4.802
48.2	7.648	4.801
48.3	7.65	4.799
48.4	7.654	4.793
48.5	7.656	4.788
48.6	7.658	4.786
48.7	7.642	4.776
48.8	7.643	4.778
48.9	7.644	4.78
49	7.643	4.781
49.1	7.645	4.781
49.2	7.647	4.783
49.3	7.648	4.78
49.4	7.646	4.779
49.5	7.644	4.779
49.6	7.642	4.781
49.7	7.647	4.789
49.8	7.653	4.79
49.9	7.659	4.792
50	7.663	4.794
50.1	7.667	4.795
50.2	7.668	4.795
50.3	7.67	4.795
50.4	7.672	4.795
50.5	7.673	4.797
50.6	7.672	4.8
50.7	7.674	4.799
50.8	7.673	4.799
50.9	7.673	4.802
51	7.671	4.8
51.1	7.67	4.796
51.2	7.667	4.79
51.3	7.669	4.789
51.4	7.668	4.791
51.5	7.67	4.795
51.6	7.671	4.796
51.7	7.67	4.799
51.8	7.669	4.802
51.9	7.666	4.804
52	7.665	4.803
52.1	7.665	4.802
52.2	7.665	4.801
52.3	7.664	4.801
52.4	7.664	4.801
52.5	7.666	4.8
52.6	7.667	4.799
52.7	7.67	4.8
52.8	7.672	4.8
52.9	7.675	4.802
53	7.677	4.804
53.1	7.679	4.805
53.2	7.68	4.805
53.3	7.681	4.807
53.4	7.681	4.808
53.5	7.68	4.808
53.6	7.678	4.807
