Time	X	Z
0	7.855	2.268
0.1	7.855	2.268
0.2	7.856	2.27
0.3	7.856	2.27
0.4	7.856	2.27
0.5	7.856	2.27
0.6	7.856	2.27
0.7	7.856	2.27
0.8	7.856	2.27
0.9	7.856	2.27
1	7.856	2.27
1.1	7.856	2.27
1.2	7.856	2.27
1.3	7.856	2.27
1.4	7.856	2.27
1.5	7.856	2.27
1.6	7.856	2.27
1.7	7.856	2.27
1.8	7.856	2.27
1.9	7.856	2.271
2	7.856	2.271
2.1	7.856	2.271
2.2	7.856	2.271
2.3	7.856	2.271
2.4	7.856	2.271
2.5	7.856	2.271
2.6	7.856	2.271
2.7	7.856	2.271
2.8	7.856	2.271
2.9	7.856	2.271
3	7.856	2.271
3.1	7.856	2.271
3.2	7.856	2.271
3.3	7.856	2.271
3.4	7.856	2.271
3.5	7.856	2.271
3.6	7.856	2.271
3.7	7.856	2.271
3.8	7.856	2.271
3.9	7.856	2.271
4	7.856	2.271
4.1	7.856	2.271
4.2	7.856	2.271
4.3	7.856	2.271
4.4	7.856	2.271
4.5	7.856	2.271
4.6	7.856	2.271
4.7	7.856	2.271
4.8	7.856	2.271
4.9	7.856	2.271
5	7.856	2.271
5.1	7.856	2.271
5.2	7.856	2.271
5.3	7.856	2.271
5.4	7.856	2.271
5.5	7.856	2.271
5.6	7.856	2.271
5.7	7.856	2.271
5.8	7.856	2.271
5.9	7.856	2.271
6	7.856	2.271
6.1	7.856	2.271
6.2	7.856	2.271
6.3	7.856	2.271
6.4	7.856	2.271
6.5	7.856	2.271
6.6	7.856	2.271
6.7	7.856	2.271
6.8	7.856	2.272
6.9	7.856	2.271
7	7.856	2.272
7.1	7.856	2.272
7.2	7.856	2.271
7.3	7.856	2.272
7.4	7.856	2.272
7.5	7.856	2.272
7.6	7.856	2.272
7.7	7.856	2.272
7.8	7.856	2.272
7.9	7.856	2.272
8	7.856	2.272
8.1	7.856	2.272
8.2	7.856	2.272
8.3	7.856	2.272
8.4	7.856	2.272
8.5	7.856	2.272
8.6	7.856	2.272
8.7	7.856	2.272
8.8	7.856	2.272
8.9	7.856	2.272
9	7.856	2.272
9.1	7.856	2.272
9.2	7.856	2.272
9.3	7.856	2.272
9.4	7.856	2.272
9.5	7.856	2.272
9.6	7.856	2.272
9.7	7.856	2.272
9.8	7.856	2.272
9.9	7.856	2.272
10	7.856	2.272
10.1	7.856	2.272
10.2	7.856	2.272
10.3	7.856	2.272
10.4	7.856	2.272
10.5	7.856	2.272
10.6	7.856	2.272
10.7	7.856	2.272
10.8	7.856	2.272
10.9	7.856	2.272
11	7.856	2.272
11.1	7.856	2.272
11.2	7.856	2.272
11.3	7.856	2.272
11.4	7.856	2.272
11.5	7.856	2.272
11.6	7.856	2.272
11.7	7.856	2.272
11.8	7.856	2.272
11.9	7.856	2.272
12	7.856	2.272
12.1	7.856	2.272
12.2	7.856	2.272
12.3	7.856	2.272
12.4	7.856	2.272
12.5	7.856	2.272
12.6	7.856	2.272
12.7	7.856	2.272
12.8	7.856	2.272
12.9	7.856	2.272
13	7.856	2.272
13.1	7.856	2.272
13.2	7.856	2.272
13.3	7.856	2.272
13.4	7.856	2.272
13.5	7.856	2.272
13.6	7.856	2.272
13.7	7.856	2.272
13.8	7.856	2.272
13.9	7.856	2.272
14	7.857	2.272
14.1	7.856	2.272
14.2	7.856	2.272
14.3	7.856	2.273
14.4	7.857	2.273
14.5	7.857	2.273
14.6	7.857	2.273
14.7	7.856	2.272
14.8	7.856	2.272
14.9	7.856	2.272
15	7.856	2.272
15.1	7.856	2.272
15.2	7.856	2.272
15.3	7.856	2.272
15.4	7.856	2.272
15.5	7.856	2.272
15.6	7.856	2.272
15.7	7.856	2.272
15.8	7.857	2.272
15.9	7.856	2.272
16	7.857	2.272
16.1	7.857	2.272
16.2	7.857	2.272
16.3	7.857	2.272
16.4	7.856	2.272
16.5	7.857	2.272
16.6	7.856	2.272
16.7	7.856	2.272
16.8	7.856	2.272
16.9	7.856	2.272
17	7.856	2.272
17.1	7.856	2.272
17.2	7.857	2.272
