Name des Probanden: 31						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/13		0.370131	0.6			V
M/13		0.486317	0.6			H
XS/15		0.163313	0.4			V
XS/15		0.317888	0.5			H
S/17		0.323414	0.6			V
S/17		0.417961	0.6			H
XL/13		0.381261	0.3			V
XL/13		0.426404	0.3			H
L/7		0.304517	0.5			V
L/7		0.346223	0.6			H
