Name des Probanden: 13						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
L/11		0.44647		0.7			V
L/11		0.377596	0.8			H
XL/13		0.473373	0.6			V
XL/13		0.474259	0.7			H
S/15		0.401356	1.4			V
S/15		0.516539	1.2			H
XS/5		0.903198	2			V
XS/5		0.575611	1.9			H
M/7		0.411966	1.6			V
M/7		0.612138	1.3			H
