Time	X	Z
0	6.974	1.815
0.1	6.974	1.815
0.2	6.974	1.815
0.3	6.974	1.815
0.4	6.974	1.815
0.5	6.974	1.815
0.6	6.974	1.815
0.7	6.974	1.815
0.8	6.974	1.815
0.9	6.974	1.815
1	6.974	1.815
1.1	6.974	1.815
1.2	6.974	1.815
1.3	6.974	1.815
1.4	6.974	1.815
1.5	6.974	1.815
1.6	6.974	1.815
1.7	6.974	1.815
1.8	6.974	1.815
1.9	6.974	1.815
2	6.974	1.815
2.1	6.974	1.815
2.2	6.974	1.815
2.3	6.974	1.815
2.4	6.974	1.815
2.5	6.974	1.815
2.6	6.974	1.815
2.7	6.974	1.815
2.8	6.974	1.815
2.9	6.974	1.815
3	6.974	1.815
3.1	6.974	1.815
3.2	6.974	1.815
3.3	6.974	1.815
3.4	6.974	1.815
3.5	6.974	1.815
3.6	6.974	1.815
3.7	6.974	1.815
3.8	6.974	1.815
3.9	6.974	1.815
4	6.974	1.815
4.1	6.974	1.815
4.2	6.974	1.815
4.3	6.974	1.815
4.4	6.974	1.815
4.5	6.974	1.815
4.6	6.974	1.815
4.7	6.974	1.815
4.8	6.974	1.815
4.9	6.974	1.815
5	6.974	1.815
5.1	6.974	1.815
5.2	6.974	1.815
5.3	6.974	1.815
5.4	6.974	1.815
5.5	6.974	1.815
5.6	6.974	1.815
5.7	6.974	1.815
5.8	6.974	1.815
5.9	6.974	1.815
6	6.974	1.815
6.1	6.974	1.815
6.2	6.974	1.815
6.3	6.974	1.815
6.4	6.974	1.815
6.5	6.974	1.815
6.6	6.974	1.815
6.7	6.974	1.815
6.8	6.974	1.815
6.9	6.974	1.815
7	6.974	1.815
7.1	6.974	1.815
7.2	6.974	1.815
7.3	6.974	1.815
7.4	6.974	1.815
7.5	6.974	1.815
7.6	6.974	1.815
7.7	6.974	1.815
7.8	6.974	1.815
7.9	6.974	1.815
8	6.974	1.815
8.1	6.974	1.815
8.2	6.974	1.815
8.3	6.974	1.815
8.4	6.974	1.815
8.5	6.974	1.815
8.6	6.974	1.815
8.7	6.974	1.815
8.8	6.974	1.815
8.9	6.974	1.815
9	6.974	1.815
9.1	6.974	1.815
9.2	6.974	1.815
9.3	6.974	1.815
9.4	6.974	1.815
9.5	6.974	1.815
9.6	6.974	1.815
9.7	6.974	1.815
9.8	6.974	1.815
9.9	6.974	1.815
10	6.974	1.815
10.1	6.974	1.815
10.2	6.974	1.815
10.3	6.974	1.815
10.4	6.974	1.815
10.5	6.974	1.815
10.6	6.974	1.815
10.7	6.974	1.815
10.8	6.974	1.815
10.9	6.974	1.815
11	6.974	1.815
11.1	6.974	1.815
11.2	6.974	1.815
11.3	6.974	1.815
11.4	6.974	1.815
11.5	6.974	1.815
11.6	6.974	1.815
11.7	6.974	1.815
11.8	6.974	1.815
11.9	6.974	1.815
12	6.974	1.815
12.1	6.974	1.815
12.2	6.974	1.815
12.3	6.974	1.815
12.4	6.974	1.815
12.5	6.974	1.815
12.6	6.974	1.815
12.7	6.974	1.815
12.8	6.974	1.815
12.9	6.974	1.815
13	6.974	1.815
13.1	6.974	1.815
13.2	6.974	1.815
13.3	6.974	1.815
13.4	6.974	1.815
13.5	6.974	1.815
13.6	6.974	1.815
13.7	6.974	1.815
13.8	6.974	1.815
13.9	6.974	1.815
14	6.974	1.815
14.1	6.974	1.815
14.2	6.974	1.815
14.3	6.974	1.815
14.4	6.974	1.815
14.5	6.974	1.815
14.6	6.974	1.815
14.7	6.974	1.815
14.8	6.974	1.815
14.9	6.974	1.815
15	6.974	1.815
15.1	6.974	1.815
15.2	6.974	1.815
