Time	X	Z
0	7.678	2.432
0.1	7.678	2.432
0.2	7.679	2.432
0.3	7.679	2.432
0.4	7.679	2.432
0.5	7.679	2.432
0.6	7.679	2.432
0.7	7.679	2.432
0.8	7.679	2.432
0.9	7.679	2.432
1	7.679	2.432
1.1	7.679	2.432
1.2	7.679	2.432
1.3	7.679	2.432
1.4	7.679	2.432
1.5	7.679	2.432
1.6	7.679	2.432
1.7	7.679	2.432
1.8	7.679	2.432
1.9	7.679	2.432
2	7.679	2.432
2.1	7.679	2.432
2.2	7.679	2.432
2.3	7.679	2.432
2.4	7.679	2.432
2.5	7.679	2.432
2.6	7.679	2.432
2.7	7.679	2.432
2.8	7.679	2.432
2.9	7.679	2.432
3	7.679	2.432
3.1	7.679	2.432
3.2	7.679	2.432
3.3	7.679	2.432
3.4	7.679	2.432
3.5	7.679	2.432
3.6	7.679	2.432
3.7	7.679	2.432
3.8	7.679	2.432
3.9	7.679	2.432
4	7.679	2.432
4.1	7.679	2.432
4.2	7.679	2.432
4.3	7.679	2.432
4.4	7.679	2.432
4.5	7.679	2.432
4.6	7.679	2.432
4.7	7.679	2.432
4.8	7.679	2.432
4.9	7.679	2.432
5	7.679	2.432
5.1	7.679	2.432
5.2	7.679	2.432
5.3	7.679	2.432
5.4	7.679	2.432
5.5	7.679	2.432
5.6	7.679	2.432
5.7	7.679	2.432
5.8	7.679	2.432
5.9	7.679	2.432
6	7.679	2.432
6.1	7.679	2.432
6.2	7.679	2.432
6.3	7.679	2.432
6.4	7.679	2.432
6.5	7.679	2.432
6.6	7.679	2.432
6.7	7.679	2.432
6.8	7.679	2.432
6.9	7.679	2.432
7	7.679	2.432
7.1	7.679	2.432
7.2	7.679	2.432
7.3	7.679	2.432
7.4	7.679	2.432
7.5	7.679	2.432
7.6	7.679	2.432
7.7	7.679	2.432
7.8	7.679	2.432
7.9	7.679	2.432
8	7.679	2.432
8.1	7.679	2.432
8.2	7.679	2.432
8.3	7.679	2.432
8.4	7.679	2.432
8.5	7.679	2.432
8.6	7.678	2.432
8.7	7.679	2.432
8.8	7.679	2.432
8.9	7.679	2.432
9	7.679	2.432
9.1	7.679	2.432
9.2	7.679	2.432
9.3	7.679	2.432
9.4	7.679	2.432
9.5	7.679	2.432
9.6	7.679	2.432
9.7	7.679	2.432
9.8	7.679	2.432
9.9	7.679	2.432
10	7.679	2.432
10.1	7.679	2.432
10.2	7.679	2.432
10.3	7.679	2.432
10.4	7.679	2.432
10.5	7.679	2.432
10.6	7.679	2.432
