Name des Probanden: 43						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XS/11		0.505559	1.8			V
XS/11		0.134071	1.2			H
XL/9		0.413279	0.9			V
XL/9		0.441659	1			H
S/5		0.281907	1.1			V
S/5		0.32752		1.1			H
L/7		0.5425		1			V
L/7		0.520488	0.8			H
M/11		0.342955	1.6			V
M/11		0.350389	1.2			H
