Name des Probanden: 37						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/5		1.781074	0.6			V
XL/5		1.345337	0.5			H
L/15		1.681722	0.7			V
L/15		1.295379	0.7			H
S/7		0.385866	1			V
S/7		0.86606		0.9			H
M/5		0.715644	0.8			V
M/5		0.919044	0.9			H
XS/5		0.459867	1.5			V
XS/5		0.596868	1.4			H
