Name des Probanden: 09						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/15		0.457624	1.2			V
XL/15		0.387806	1.4			H
XS/17		0.263113	1.6			V
XS/17		0.379145	1.8			H
M/9		0.363901	1.6			V
M/9		0.344072	1.6			H
S/19		0.278371	1.5			V
S/19		0.23344		1.5			H
L/5		0.35331		1.2			V
L/5		0.240543	1.1			H
