Name des Probanden: 06						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/7		0.36363		1.8			V
M/7		0.16403		1.8			H
S/1		0.35548		1.5			V
S/1		0.379249	1.4			H
XS/19		0.202522	1			V
XS/19		0.192184	1			H
XL/5		0.531729	1.7			V
XL/5		0.418121	1.7			H
L/1		0.350345	1.6			V
L/1		0.435088	1.6			H
