Name des Probanden: 05						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/11		0.989234	0.9			V
XL/11		0.992182	1.1			H
XS/1		1.396705	1.8			V
XS/1		1.369704	1.9			H
L/19		0.774457	1.4			V
L/19		0.765702	1.4			H
S/7		0.931279	2			V
S/7		1.032072	2			H
M/17		0.390614	1.3			V
M/17		0.69151		1.4			H
