Name des Probanden: 32						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/11		0.7368		1.8			V
M/11		0.852613	2			H
S/15		0.634654	1.8			V
S/15		0.470241	1.8			H
XL/15		1.87396		1.5			V
XL/15		1.3466		1.7			H
XS/13		0.448185	1.9			V
XS/13		0.287639	2			H
L/9		1.138637	1.7			V
L/9		1.230837	1.8			H
