Name des Probanden: 50						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/1		0.465515	0.6			V
M/1		0.446891	0.8			H
XL/19		0.374587	0.8			V
XL/19		0.599878	1			H
S/19		0.248871	0.7			V
S/19		0.268879	0.8			H
XS/1		0.187418	0.7			V
XS/1		0.194343	0.8			H
L/19		0.316628	1			V
L/19		0.39234		1			H
