Name des Probanden: 49						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
S/1		0.442676	0.5			V
S/1		0.441482	0.5			H
M/3		0.383118	0.7			V
M/3		0.683302	0.5			H
XS/3		0.375549	0.7			V
XS/3		0.661096	0.6			H
L/17		0.253217	0.5			V
L/17		0.469742	0.7			H
XL/17		1.102675	1			V
XL/17		0.291952	0.7			H
