Time	Velocity
0	0
0.1	0.04
0.2	0.15
0.3	0.29
0.4	0.48
0.5	0.72
0.6	0.94
0.7	1.13
0.8	1.28
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.4
1.8	1.4
1.9	1.39
2	1.33
2.1	1.2
2.2	1.05
2.3	0.82
2.4	0.6
2.5	0.39
2.6	0.21
2.7	0.08
2.8	0.01
0	-0.01
0.1	-0.05
0.2	-0.23
0.3	-0.5
0.4	-0.8
0.5	-1.09
0.6	-1.3
0.7	-1.4
0.8	-1.36
0.9	-1.2
1	-0.91
1.1	-0.64
1.2	-0.32
1.3	-0.11
0	0
0.1	0.04
0.2	0.15
0.3	0.31
0.4	0.51
0.5	0.72
0.6	0.94
0.7	1.13
0.8	1.28
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.4
1.8	1.4
1.9	1.4
2	1.4
2.1	1.35
2.2	1.24
2.3	1.07
2.4	0.87
2.5	0.65
2.6	0.44
2.7	0.25
2.8	0.11
2.9	0.02
0	-0.01
0.1	-0.07
0.2	-0.23
0.3	-0.49
0.4	-0.8
0.5	-1.08
0.6	-1.31
0.7	-1.4
0.8	-1.35
0.9	-1.17
1	-0.91
1.1	-0.6
1.2	-0.32
1.3	-0.1
