Name des Probanden: 35						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
L/13		0.45483		1			V
L/13		0.515347	1			H
S/11		0.397758	1.3			V
S/11		0.597245	1.3			H
M/7		0.427143	1.2			V
M/7		0.468385	1.2			H
XL/17		0.64056		1			V
XL/17		0.574499	1			H
XS/9		0.36963		1.2			V
XS/9		0.427843	1.3			H
