Time	X	Z
0	7.653	2.276
0.1	7.653	2.276
0.2	7.653	2.276
0.3	7.653	2.276
0.4	7.653	2.276
0.5	7.653	2.276
0.6	7.653	2.276
0.7	7.653	2.276
0.8	7.653	2.276
0.9	7.653	2.276
1	7.646	2.278
1.1	7.645	2.278
1.2	7.645	2.278
1.3	7.654	2.279
1.4	7.668	2.281
1.5	7.699	2.284
1.6	7.733	2.293
1.7	7.769	2.294
1.8	7.799	2.284
1.9	7.83	2.265
2	7.863	2.244
2.1	7.895	2.221
2.2	7.924	2.209
2.3	7.961	2.197
2.4	7.992	2.185
2.5	8.011	2.173
2.6	8.025	2.162
2.7	8.037	2.145
2.8	8.044	2.129
2.9	8.043	2.123
3	8.04	2.121
3.1	8.041	2.118
3.2	8.047	2.113
3.3	8.05	2.11
3.4	8.053	2.108
3.5	8.055	2.104
3.6	8.06	2.099
3.7	8.064	2.095
3.8	8.068	2.09
3.9	8.072	2.084
4	8.074	2.081
4.1	8.075	2.083
4.2	8.054	2.096
4.3	8.002	2.13
4.4	7.944	2.169
4.5	7.886	2.188
4.6	7.84	2.195
4.7	7.809	2.198
4.8	7.781	2.195
4.9	7.757	2.198
5	7.732	2.21
5.1	7.713	2.228
5.2	7.705	2.245
5.3	7.687	2.265
5.4	7.663	2.284
5.5	7.641	2.284
5.6	7.626	2.278
5.7	7.616	2.264
5.8	7.608	2.239
5.9	7.602	2.203
6	7.602	2.174
6.1	7.603	2.161
6.2	7.606	2.161
6.3	7.611	2.168
6.4	7.625	2.177
6.5	7.637	2.18
6.6	7.644	2.182
6.7	7.646	2.183
6.8	7.644	2.182
6.9	7.644	2.182
7	7.641	2.182
7.1	7.639	2.181
7.2	7.634	2.181
7.3	7.63	2.18
7.4	7.627	2.179
7.5	7.623	2.178
7.6	7.619	2.178
7.7	7.615	2.177
7.8	7.612	2.176
7.9	7.609	2.176
8	7.606	2.175
8.1	7.605	2.175
8.2	7.603	2.174
8.3	7.601	2.174
8.4	7.6	2.174
8.5	7.6	2.174
8.6	7.599	2.174
8.7	7.599	2.173
8.8	7.599	2.174
8.9	7.6	2.174
9	7.6	2.174
9.1	7.6	2.174
9.2	7.601	2.174
9.3	7.601	2.174
9.4	7.601	2.174
9.5	7.602	2.174
9.6	7.603	2.174
9.7	7.603	2.174
9.8	7.603	2.174
9.9	7.604	2.175
10	7.605	2.175
10.1	7.605	2.175
10.2	7.606	2.175
10.3	7.606	2.175
10.4	7.607	2.175
10.5	7.608	2.175
10.6	7.608	2.175
10.7	7.608	2.175
10.8	7.608	2.175
10.9	7.609	2.175
11	7.609	2.175
11.1	7.61	2.175
11.2	7.61	2.176
11.3	7.61	2.175
11.4	7.61	2.175
11.5	7.61	2.175
11.6	7.61	2.175
11.7	7.608	2.176
11.8	7.609	2.176
11.9	7.609	2.176
12	7.609	2.176
12.1	7.609	2.176
12.2	7.609	2.176
12.3	7.609	2.176
12.4	7.609	2.176
12.5	7.609	2.177
12.6	7.609	2.176
12.7	7.609	2.177
12.8	7.609	2.177
12.9	7.61	2.177
13	7.61	2.177
13.1	7.61	2.177
13.2	7.61	2.177
13.3	7.61	2.177
13.4	7.609	2.177
13.5	7.609	2.177
13.6	7.609	2.177
13.7	7.609	2.177
13.8	7.609	2.177
13.9	7.609	2.177
14	7.609	2.177
14.1	7.609	2.177
14.2	7.609	2.177
14.3	7.609	2.177
14.4	7.609	2.177
14.5	7.609	2.177
14.6	7.609	2.177
14.7	7.609	2.177
14.8	7.609	2.177
14.9	7.609	2.177
