Name des Probanden: 47						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
L/13		0.942629	0.7			V
L/13		0.918649	0.8			H
XS/5		0.212077	1			V
XS/5		0.272496	0.8			H
XL/15		1.26366		0.8			V
XL/15		0.957387	0.6			H
S/15		1.035957	0.9			V
S/15		0.943404	1			H
M/5		1.171307	0.9			V
M/5		1.017554	1			H
