Name des Probanden: 44						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/3		0.572031	0.4			V
XL/3		0.688781	0.6			H
M/17		0.74177		1.1			V
M/17		0.58031		0.8			H
L/9		0.621393	0.5			V
L/9		0.593852	0.5			H
S/11		0.617156	1.5			V
S/11		0.676406	1.7			H
XS/9		0.822558	1.8			V
XS/9		0.82874		2			H
