Time	X	Z
0	6.502	4.329
0.1	6.503	4.33
0.2	6.423	4.219
0.3	6.421	4.217
0.4	6.431	4.21
0.5	6.438	4.198
0.6	6.442	4.184
0.7	6.447	4.172
0.8	6.451	4.164
0.9	6.452	4.163
1	6.448	4.165
1.1	6.443	4.167
1.2	6.437	4.17
1.3	6.429	4.172
1.4	6.42	4.173
1.5	6.41	4.174
1.6	6.403	4.175
1.7	6.398	4.177
1.8	6.393	4.178
1.9	6.387	4.18
2	6.385	4.183
2.1	6.384	4.188
2.2	6.384	4.193
2.3	6.384	4.198
2.4	6.385	4.204
2.5	6.386	4.209
2.6	6.387	4.214
2.7	6.388	4.219
2.8	6.388	4.223
2.9	6.388	4.226
3	6.389	4.229
3.1	6.39	4.231
3.2	6.39	4.231
3.3	6.389	4.231
3.4	6.389	4.231
3.5	6.39	4.23
3.6	6.391	4.229
3.7	6.392	4.227
3.8	6.393	4.225
3.9	6.394	4.223
4	6.395	4.222
4.1	6.396	4.221
4.2	6.398	4.221
4.3	6.401	4.222
4.4	6.403	4.222
4.5	6.405	4.224
4.6	6.406	4.225
4.7	6.406	4.227
4.8	6.407	4.228
4.9	6.408	4.229
5	6.409	4.229
5.1	6.41	4.23
5.2	6.411	4.231
