Name des Probanden: 34						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XS/17		0.670608	1.3			V
XS/17		0.729663	1.1			H
XL/9		1.489642	1.1			V
XL/9		1.285776	1.1			H
M/9		0.808752	0.8			V
M/9		0.831622	0.9			H
S/19		0.809441	0.9			V
S/19		0.855098	1.1			H
L/11		1.078431	0.7			V
L/11		0.579572	0.7			H
