Time	X	Z
0	7.289	1.928
0.1	7.289	1.928
0.2	7.289	1.928
0.3	7.289	1.928
0.4	7.289	1.928
0.5	7.289	1.928
0.6	7.289	1.928
0.7	7.289	1.928
0.8	7.289	1.928
0.9	7.289	1.928
1	7.289	1.928
1.1	7.289	1.928
1.2	7.289	1.928
1.3	7.289	1.928
1.4	7.289	1.928
1.5	7.289	1.928
1.6	7.289	1.928
1.7	7.289	1.928
1.8	7.289	1.928
1.9	7.289	1.928
2	7.289	1.928
2.1	7.289	1.928
2.2	7.289	1.928
2.3	7.289	1.928
2.4	7.289	1.928
2.5	7.289	1.928
2.6	7.289	1.928
2.7	7.289	1.928
2.8	7.289	1.928
2.9	7.289	1.928
3	7.289	1.928
3.1	7.289	1.928
3.2	7.289	1.928
3.3	7.289	1.928
3.4	7.289	1.928
3.5	7.289	1.928
3.6	7.289	1.928
3.7	7.289	1.928
3.8	7.289	1.928
3.9	7.289	1.928
4	7.289	1.928
4.1	7.289	1.928
4.2	7.289	1.928
4.3	7.289	1.928
4.4	7.289	1.928
4.5	7.289	1.928
4.6	7.289	1.928
4.7	7.289	1.928
4.8	7.289	1.928
4.9	7.289	1.928
5	7.289	1.928
5.1	7.289	1.928
5.2	7.289	1.928
5.3	7.289	1.928
5.4	7.289	1.928
5.5	7.289	1.928
5.6	7.289	1.928
5.7	7.289	1.928
5.8	7.289	1.928
5.9	7.289	1.928
6	7.289	1.928
6.1	7.289	1.928
6.2	7.289	1.928
6.3	7.289	1.928
6.4	7.289	1.928
6.5	7.289	1.928
6.6	7.289	1.928
6.7	7.289	1.928
6.8	7.289	1.928
6.9	7.289	1.928
7	7.289	1.928
7.1	7.289	1.928
7.2	7.289	1.928
7.3	7.289	1.928
7.4	7.289	1.928
7.5	7.289	1.928
7.6	7.289	1.928
7.7	7.289	1.928
7.8	7.289	1.928
7.9	7.289	1.928
8	7.289	1.928
8.1	7.289	1.928
8.2	7.289	1.928
8.3	7.289	1.928
8.4	7.289	1.928
8.5	7.289	1.928
8.6	7.289	1.928
8.7	7.289	1.928
8.8	7.289	1.928
8.9	7.289	1.928
9	7.289	1.928
9.1	7.289	1.928
9.2	7.289	1.928
9.3	7.289	1.929
9.4	7.289	1.928
9.5	7.289	1.928
9.6	7.289	1.928
9.7	7.289	1.928
9.8	7.289	1.928
9.9	7.289	1.928
10	7.289	1.928
10.1	7.289	1.928
10.2	7.289	1.928
10.3	7.289	1.928
10.4	7.289	1.928
10.5	7.289	1.928
10.6	7.289	1.928
10.7	7.289	1.928
10.8	7.289	1.928
10.9	7.289	1.928
11	7.289	1.928
11.1	7.288	1.94
11.2	7.287	1.957
11.3	7.283	1.944
11.4	7.277	1.996
11.5	7.258	2.048
11.6	7.224	2.11
11.7	7.176	2.169
11.8	7.126	2.229
11.9	7.081	2.284
12	7.047	2.336
12.1	7.034	2.379
12.2	7.032	2.422
12.3	7.021	2.458
12.4	7.033	2.499
12.5	7.054	2.551
12.6	7.077	2.609
12.7	7.099	2.664
12.8	7.117	2.713
12.9	7.136	2.75
13	7.144	2.774
13.1	7.151	2.8
13.2	7.163	2.824
13.3	7.171	2.854
13.4	7.176	2.896
13.5	7.177	2.938
13.6	7.183	2.985
13.7	7.197	3.05
13.8	7.23	3.118
13.9	7.283	3.191
14	7.336	3.259
14.1	7.374	3.309
14.2	7.391	3.359
14.3	7.402	3.419
14.4	7.414	3.479
14.5	7.423	3.541
14.6	7.432	3.608
14.7	7.433	3.677
14.8	7.426	3.738
14.9	7.424	3.799
15	7.428	3.849
15.1	7.428	3.889
15.2	7.433	3.922
15.3	7.448	3.96
15.4	7.465	3.988
15.5	7.485	4.008
15.6	7.506	4.021
15.7	7.529	4.034
15.8	7.546	4.044
15.9	7.558	4.057
16	7.564	4.064
16.1	7.563	4.07
16.2	7.562	4.075
16.3	7.561	4.08
16.4	7.559	4.084
16.5	7.554	4.086
16.6	7.548	4.089
16.7	7.543	4.091
16.8	7.538	4.094
16.9	7.533	4.094
17	7.531	4.092
17.1	7.528	4.092
17.2	7.527	4.092
17.3	7.527	4.093
17.4	7.527	4.093
17.5	7.528	4.095
17.6	7.528	4.101
17.7	7.531	4.11
17.8	7.53	4.123
17.9	7.527	4.137
18	7.522	4.154
18.1	7.512	4.169
18.2	7.504	4.181
18.3	7.497	4.2
18.4	7.493	4.221
18.5	7.485	4.242
18.6	7.48	4.263
18.7	7.475	4.286
18.8	7.472	4.309
18.9	7.469	4.329
19	7.468	4.351
19.1	7.471	4.376
19.2	7.474	4.405
19.3	7.479	4.431
19.4	7.484	4.456
19.5	7.493	4.483
19.6	7.503	4.506
19.7	7.512	4.528
19.8	7.513	4.546
19.9	7.517	4.561
20	7.518	4.569
20.1	7.516	4.574
20.2	7.518	4.579
20.3	7.522	4.584
20.4	7.524	4.589
20.5	7.528	4.592
20.6	7.534	4.592
20.7	7.535	4.595
20.8	7.53	4.599
20.9	7.526	4.603
21	7.521	4.607
21.1	7.522	4.613
21.2	7.522	4.614
21.3	7.523	4.619
21.4	7.507	4.618
21.5	7.508	4.626
21.6	7.508	4.629
21.7	7.508	4.631
21.8	7.508	4.63
21.9	7.504	4.63
