Name des Probanden: 17						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/7		0.346316	0.3			V
XL/7		0.352784	0.5			H
XS/13		0.549795	0.4			V
XS/13		0.511		0.4			H
M/1		0.32217		0.4			V
M/1		0.279802	0.4			H
S/5		0.267509	0.4			V
S/5		0.3414		0.4			H
L/3		0.356882	0.4			V
L/3		0.326329	0.4			H
