Name des Probanden: 48						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/19		0.845581	0.9			V
M/19		0.414262	0.9			H
S/17		0.733227	0.7			V
S/17		0.734126	0.8			H
XL/1		0.551583	0.9			V
XL/1		1.058642	0.6			H
L/15		1.080243	1			V
L/15		1.12816		1			H
XS/19		0.530172	1.2			V
XS/19		0.533651	1.2			H
