Name des Probanden: 38						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/3		1.858733	1.6			V
M/3		1.662943	1.6			H
XS/19		0.693814	1.1			V
XS/19		0.812034	1.4			H
XL/19		1.413135	1.8			V
XL/19		1.381793	1.8			H
L/17		1.345617	2			V
L/17		1.483109	2			H
S/5		1.536061	2			V
S/5		1.271097	1.8			H
