Name des Probanden: 41						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/5		0.392602	0.5			V
XL/5		0.633797	0.6			H
XS/13		0.33018		0.6			V
XS/13		0.411686	0.6			H
M/15		0.425738	0.6			V
M/15		0.534399	1.4			H
S/7		0.527021	0.6			V
S/7		0.500304	0.6			H
L/3		0.526303	0.6			V
L/3		0.453383	0.6			H
