Name des Probanden: 23						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
M/11		0.46319		1			V
M/11		0.549059	1.2			H
L/13		0.625139	1.1			V
L/13		0.997511	1.2			H
S/11		0.794054	1.4			V
S/11		0.831164	1.3			H
XS/9		0.890836	1.2			V
XS/9		1.124912	0.9			H
XL/7		0.710291	1.1			V
XL/7		0.662059	1.1			H
