Name des Probanden: 36						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
S/9		0.63023		0.9			V
S/9		0.923164	1.3			H
M/17		0.436099	1.1			V
M/17		0.770174	0.8			H
XS/7		0.575779	1.4			V
XS/7		0.906722	1.2			H
L/3		0.406912	1			V
L/3		0.720685	1.1			H
XL/7		0.621094	0.8			V
XL/7		0.661856	0.8			H
