Name des Probanden: 39						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XS/3		0.958302	1.5			V
XS/3		1.486959	1.6			H
XL/3		1.105151	1			V
XL/3		0.930798	1.4			H
M/19		0.788389	1.4			V
M/19		1.103465	1.6			H
S/3		0.766856	1.6			V
S/3		0.816727	1.5			H
L/1		0.865706	1.5			V
L/1		0.694502	1.5			H
