Name des Probanden: 24						
						
Größe		BO-Distanz	BO-Geschwindigkeit	Blickwinkel		
[Klasse/Stufe]	[m]		[m/s]			[V/H]
--------------------------------------------------------------------						
XL/13		0.752947	0.8			V
XL/13		0.900233	1.1			H
S/5		0.520373	1.4			V
S/5		0.591418	1			H
XS/15		0.485309	1.2			V
XS/15		0.646214	1.1			H
M/17		0.779738	1.3			V
M/17		0.819179	1.3			H
L/11		0.93885		1.3			V
L/11		0.976834	1.3			H
